,건물면적,경도,도서관명,도서관유형,시군구명,시도명,열람좌석수,위도,자료수,좌표
84,324.0,126.96760591719999,구립 청파도서관,공공도서관,용산구,서울특별시,75,37.5539248195,32758,"37.5539248195, 126.96760591719999"
85,113.14,126.9685012617,청파 어린이 영어도서관,작은도서관,용산구,서울특별시,24,37.5454736959,17368,"37.5454736959, 126.9685012617"
86,113.14,126.98469285879999,용암 어린이 영어도서관,작은도서관,용산구,서울특별시,24,37.5410187594,16710,"37.5410187594, 126.98469285879999"
87,150.86,126.990478255,북카페 청마루,작은도서관,용산구,서울특별시,32,37.532452654800004,5500,"37.532452654800004, 126.990478255"
88,155.57,126.9781504584,후암동작은도서관 북앤캠프,작은도서관,용산구,서울특별시,33,37.5486978477,6808,"37.5486978477, 126.9781504584"
89,94.29,126.98556994020001,해다올 작은도서관,작은도서관,용산구,서울특별시,20,37.5460752787,10341,"37.5460752787, 126.98556994020001"
90,61.29,126.973090878,남영동 작은도서관,작은도서관,용산구,서울특별시,13,37.5457054867,8616,"37.5457054867, 126.973090878"
91,94.29,126.9515482962,원효로제2동 작은도서관 두드림,작은도서관,용산구,서울특별시,20,37.5343532215,5508,"37.5343532215, 126.9515482962"
92,188.57,126.96184001350001,효창동 작은도서관,작은도서관,용산구,서울특별시,40,37.5425092453,11765,"37.5425092453, 126.96184001350001"
93,80.14,126.95758291879999,오렌지나무 작은도서관,작은도서관,용산구,서울특별시,17,37.5389542495,7235,"37.5389542495, 126.95758291879999"
94,160.29,126.9692280709,한강로동 작은도서관,작은도서관,용산구,서울특별시,34,37.528142242600005,7522,"37.528142242600005, 126.9692280709"
95,122.57,126.9546577844,이촌2동 작은도서관,작은도서관,용산구,서울특별시,26,37.5262814836,5974,"37.5262814836, 126.9546577844"
96,56.57,126.9901964343,회나무 작은도서관,작은도서관,용산구,서울특별시,12,37.5419023243,6594,"37.5419023243, 126.9901964343"
97,183.86,127.00026701559999,한남동 작은도서관,작은도서관,용산구,서울특별시,39,37.5348569089,8406,"37.5348569089, 127.00026701559999"
98,94.29,126.9946516618,서빙고동 작은도서관,작은도서관,용산구,서울특별시,20,37.5204767979,4645,"37.5204767979, 126.9946516618"
99,70.71,127.00018100690001,작은도서관 꿈꾸는 책마을,작은도서관,용산구,서울특별시,15,37.5263009993,4696,"37.5263009993, 127.00018100690001"
100,169.71,127.00018100690001,별밭 작은도서관,작은도서관,용산구,서울특별시,36,37.5263009993,5470,"37.5263009993, 127.00018100690001"
101,117.86,126.9227981301,마고정 작은도서관,작은도서관,은평구,서울특별시,25,37.63395286,3501,"37.63395286, 126.9227981301"
102,235.71,126.929022,꿈지락작은도서관,작은도서관,은평구,서울특별시,50,37.63174889,7000,"37.63174889, 126.929022"
103,282.86,126.9211419425,꿈꾸는i작은도서관,작은도서관,은평구,서울특별시,60,37.640262400000005,4700,"37.640262400000005, 126.9211419425"
104,188.57,126.92963540000001,응암도서관,작은도서관,은평구,서울특별시,40,37.60030754,17271,"37.60030754, 126.92963540000001"
105,141.43,126.92007609999999,푸른풀밭 작은도서관,작은도서관,은평구,서울특별시,30,37.59883886,4000,"37.59883886, 126.92007609999999"
106,37.71,126.92316890000001,응암2동 매바위북카페 (응암2동 주민센터),작은도서관,은평구,서울특별시,8,37.59434778,3136,"37.59434778, 126.92316890000001"
107,75.43,126.92069440000002,꿈샘도서관,작은도서관,은평구,서울특별시,16,37.59262923,6832,"37.59262923, 126.92069440000002"
108,47.14,126.9144370871,불광천 작은도서관 (응암정보도서관 운영),작은도서관,은평구,서울특별시,10,37.5904858592,4964,"37.5904858592, 126.9144370871"
109,235.71,126.91675015950001,서문어린이도서관,작은도서관,은평구,서울특별시,50,37.59165203,6451,"37.59165203, 126.91675015950001"
110,141.43,126.9213295,은평어린이영어도서관 (평생학습관 1층),작은도서관,은평구,서울특별시,30,37.6077869,14814,"37.6077869, 126.9213295"
111,141.43,126.91517830000001,역마루 작은도서관 (역촌동 주민센터),작은도서관,은평구,서울특별시,30,37.60435017,5041,"37.60435017, 126.91517830000001"
112,282.86,126.9150085,예뜰도서관,작은도서관,은평구,서울특별시,60,37.59970722,13000,"37.59970722, 126.9150085"
113,188.57,126.9185323915,꿈꾸는 작은도서관 (꿈꾸는 다락방),작은도서관,은평구,서울특별시,40,37.601996215999996,2400,"37.601996215999996, 126.9185323915"
114,188.57,126.9124473,초록길도서관,작은도서관,은평구,서울특별시,40,37.6039323,8045,"37.6039323, 126.9124473"
115,94.29,126.91889350000001,꿈마루 작은 도서관,작은도서관,은평구,서울특별시,20,37.60262325,1200,"37.60262325, 126.91889350000001"
116,75.43,126.91203349999999,청소년문화공간JU역촌동  작은 도서관,작은도서관,은평구,서울특별시,16,37.60549462,4500,"37.60549462, 126.91203349999999"
117,188.57,126.9121456,신사어린이도서관,작은도서관,은평구,서울특별시,40,37.598048937,9206,"37.598048937, 126.9121456"
118,103.71,126.907082,시루뫼쉼터 (증산동 주민센터),작은도서관,은평구,서울특별시,22,37.58425844,2989,"37.58425844, 126.907082"
119,141.43,126.9073025923,성산작은도서관,작은도서관,은평구,서울특별시,30,37.5841771285,5286,"37.5841771285, 126.9073025923"
120,70.71,126.9111446384,서영 영어전문 작은도서관,작은도서관,은평구,서울특별시,15,37.5865298724,3026,"37.5865298724, 126.9111446384"
121,94.29,126.90525929999998,이아이야작은도서관,작은도서관,은평구,서울특별시,20,37.58251157,1534,"37.58251157, 126.90525929999998"
122,94.29,126.9299824191,은평노인종합복지관 작은 도서관,작은도서관,은평구,서울특별시,20,37.6322515345,5047,"37.6322515345, 126.9299824191"
123,2550.0,126.9130879469,구산동 도서관마을,공공도서관,은평구,서울특별시,350,37.6095101902,65745,"37.6095101902, 126.9130879469"
124,1982.0,126.907816,내를건너서숲으로도서관,공공도서관,은평구,서울특별시,170,37.591414,31159,"37.591414, 126.907816"
125,1075.0,126.9199290898,은뜨락도서관,공공도서관,은평구,서울특별시,188,37.6301404375,9042,"37.6301404375, 126.9199290898"
126,66.0,126.92882355,은평작은도서관,작은도서관,은평구,서울특별시,14,37.6024569702,12958,"37.6024569702, 126.92882355"
127,212.14,126.93514829680001,녹번만화도서관,작은도서관,은평구,서울특별시,45,37.6011055255,3197,"37.6011055255, 126.93514829680001"
128,33.0,126.9368368,Book Bridge 작은 도서관,작은도서관,은평구,서울특별시,7,37.59957186,5521,"37.59957186, 126.9368368"
129,282.86,126.9297845,은광교회도서관,작은도서관,은평구,서울특별시,60,37.6127035625,15000,"37.6127035625, 126.9297845"
130,235.71,126.9264056222,바다의 별 작은도서관,작은도서관,은평구,서울특별시,50,37.6152603469,5402,"37.6152603469, 126.9264056222"
